screen_id,file_name,reference_image,capture_image,category,profile,expected_result,memo
14-32,14-32.png,data/reference/14-32.png,data/capture/14-32.png,status_time,status_time_profile,UNKNOWN,시간/상태 + 카드 UI 화면
14-33,14-33.png,data/reference/14-33.png,data/capture/14-33.png,card_ui,card_ui_profile,UNKNOWN,카드형 대시보드 화면
14-34,14-34.png,data/reference/14-34.png,data/capture/14-34.png,card_ui,card_ui_profile,UNKNOWN,카드형 대시보드 화면
14-8,14-8.png,data/reference/14-8.png,data/capture/14-8.png,text_list,text_list_profile,UNKNOWN,문구/항목 선택형 화면
14-9,14-9.png,data/reference/14-9.png,data/capture/14-9.png,text_list,text_list_profile,UNKNOWN,경고/알림 문구 목록 화면
15-1,15-1.png,data/reference/15-1.png,data/capture/15-1.png,text_list,text_list_profile,UNKNOWN,설정값 요약/목록 화면
15-12,15-12.png,data/reference/15-12.png,data/capture/15-12.png,setting_control,setting_control_profile,UNKNOWN,슬라이더 조절 화면
15-13,15-13.png,data/reference/15-13.png,data/capture/15-13.png,setting_control,setting_control_profile,UNKNOWN,슬라이더 조절 화면
15-14,15-14.png,data/reference/15-14.png,data/capture/15-14.png,setting_control,setting_control_profile,UNKNOWN,슬라이더 조절 화면
15-147,15-147.png,data/reference/15-147.png,data/capture/15-147.png,text_list,text_list_profile,UNKNOWN,설정값/텍스트 정보 화면
15-149,15-149.png,data/reference/15-149.png,data/capture/15-149.png,text_list,text_list_profile,UNKNOWN,설정값/텍스트 정보 화면
15-150,15-150.png,data/reference/15-150.png,data/capture/15-150.png,popup,popup_profile,UNKNOWN,중앙 팝업/확인 화면
15-22,15-22.png,data/reference/15-22.png,data/capture/15-22.png,text_list,text_list_profile,UNKNOWN,목록형 설정 화면
15-27,15-27.png,data/reference/15-27.png,data/capture/15-27.png,text_list,text_list_profile,UNKNOWN,목록형 설정 화면
15-4,15-4.png,data/reference/15-4.png,data/capture/15-4.png,text_list,text_list_profile,UNKNOWN,상세 설정/정보 목록 화면
15-49,15-49.png,data/reference/15-49.png,data/capture/15-49.png,text_list,text_list_profile,UNKNOWN,아이콘 포함 목록형 화면
15-51,15-51.png,data/reference/15-51.png,data/capture/15-51.png,text_list,text_list_profile,UNKNOWN,아이콘 포함 목록형 화면
15-62,15-62.png,data/reference/15-62.png,data/capture/15-62.png,text_list,text_list_profile,UNKNOWN,텍스트 중심 설명/설정 화면
15-63,15-63.png,data/reference/15-63.png,data/capture/15-63.png,guide_image,guide_image_profile,UNKNOWN,안내 이미지 또는 설명 그림 포함 화면
15-64,15-64.png,data/reference/15-64.png,data/capture/15-64.png,guide_image,guide_image_profile,UNKNOWN,안내 이미지 또는 설명 그림 포함 화면
15-65,15-65.png,data/reference/15-65.png,data/capture/15-65.png,guide_image,guide_image_profile,UNKNOWN,안내 이미지 또는 그래프 포함 화면
15-66,15-66.png,data/reference/15-66.png,data/capture/15-66.png,guide_image,guide_image_profile,UNKNOWN,안내 문구/설명 이미지 화면
15-67,15-67.png,data/reference/15-67.png,data/capture/15-67.png,text_list,text_list_profile,UNKNOWN,설정값/정보 목록 화면
16-17,16-17.png,data/reference/16-17.png,data/capture/16-17.png,card_ui,card_ui_profile,UNKNOWN,카드형 대시보드 + 숫자 정보 화면
16-19,16-19.png,data/reference/16-19.png,data/capture/16-19.png,card_ui,card_ui_profile,UNKNOWN,카드형 대시보드 + 숫자 정보 화면
16-4,16-4.png,data/reference/16-4.png,data/capture/16-4.png,card_ui,card_ui_profile,UNKNOWN,카드형 대시보드 화면
18-3,18-3.png,data/reference/18-3.png,data/capture/18-3.png,popup,popup_profile,UNKNOWN,보라색 중앙 팝업 화면
18-4,18-4.png,data/reference/18-4.png,data/capture/18-4.png,popup,popup_profile,UNKNOWN,보라색 중앙 팝업 화면
18-5,18-5.png,data/reference/18-5.png,data/capture/18-5.png,popup,popup_profile,UNKNOWN,보라색 중앙 팝업 화면
2-11,2-11.png,data/reference/2-11.png,data/capture/2-11.png,popup,popup_profile,UNKNOWN,중앙 안내 팝업 화면
2-14,2-14.png,data/reference/2-14.png,data/capture/2-14.png,popup,popup_profile,UNKNOWN,중앙 안내 팝업 화면
2-21,2-21.png,data/reference/2-21.png,data/capture/2-21.png,popup,popup_profile,UNKNOWN,로딩/처리 중 팝업 화면
2-30,2-30.png,data/reference/2-30.png,data/capture/2-30.png,popup,popup_profile,UNKNOWN,중앙 안내 팝업 화면
2-39,2-39.png,data/reference/2-39.png,data/capture/2-39.png,popup,popup_profile,UNKNOWN,로딩/처리 중 팝업 화면
2-40,2-40.png,data/reference/2-40.png,data/capture/2-40.png,popup,popup_profile,UNKNOWN,로딩/처리 중 팝업 화면
2-8,2-8.png,data/reference/2-8.png,data/capture/2-8.png,popup,popup_profile,UNKNOWN,아이콘 포함 중앙 팝업/버튼 화면
3-1,3-1.png,data/reference/3-1.png,data/capture/3-1.png,card_ui,card_ui_profile,UNKNOWN,코스 카드 선택 화면
3-2,3-2.png,data/reference/3-2.png,data/capture/3-2.png,card_ui,card_ui_profile,UNKNOWN,코스 카드 선택 화면
3-23,3-23.png,data/reference/3-23.png,data/capture/3-23.png,card_ui,card_ui_profile,UNKNOWN,코스 카드 선택 화면
3-25,3-25.png,data/reference/3-25.png,data/capture/3-25.png,card_ui,card_ui_profile,UNKNOWN,코스 카드 선택 화면
3-26,3-26.png,data/reference/3-26.png,data/capture/3-26.png,text_list,text_list_profile,UNKNOWN,상세 정보/설정 목록 화면
3-27,3-27.png,data/reference/3-27.png,data/capture/3-27.png,text_list,text_list_profile,UNKNOWN,상세 정보/설정 목록 화면
4-1,4-1.png,data/reference/4-1.png,data/capture/4-1.png,setting_control,setting_control_profile,UNKNOWN,옵션 선택/설정값 화면
4-20,4-20.png,data/reference/4-20.png,data/capture/4-20.png,setting_control,setting_control_profile,UNKNOWN,옵션 버튼/설정 조절 화면
4-3,4-3.png,data/reference/4-3.png,data/capture/4-3.png,setting_control,setting_control_profile,UNKNOWN,옵션 선택 팝업형 설정 화면
4-43,4-43.png,data/reference/4-43.png,data/capture/4-43.png,setting_control,setting_control_profile,UNKNOWN,설정값/옵션 선택 화면
4-8,4-8.png,data/reference/4-8.png,data/capture/4-8.png,setting_control,setting_control_profile,UNKNOWN,옵션 버튼 그리드 화면
4-9,4-9.png,data/reference/4-9.png,data/capture/4-9.png,setting_control,setting_control_profile,UNKNOWN,옵션 버튼 그리드 화면
5-22,5-22.png,data/reference/5-22.png,data/capture/5-22.png,popup,popup_profile,UNKNOWN,중앙 확인/안내 팝업 화면
5-24,5-24.png,data/reference/5-24.png,data/capture/5-24.png,popup,popup_profile,UNKNOWN,중앙 안내 팝업 화면
7-12,7-12.png,data/reference/7-12.png,data/capture/7-12.png,card_ui,card_ui_profile,UNKNOWN,코스 카드 선택 화면
7-5,7-5.png,data/reference/7-5.png,data/capture/7-5.png,card_ui,card_ui_profile,UNKNOWN,코스 카드 선택 화면
8-1,8-1.png,data/reference/8-1.png,data/capture/8-1.png,status_time,status_time_profile,UNKNOWN,진행 상태/시간 문구 중심 화면
8-10,8-10.png,data/reference/8-10.png,data/capture/8-10.png,status_time,status_time_profile,UNKNOWN,진행 시간/상태바 중심 화면
8-3,8-3.png,data/reference/8-3.png,data/capture/8-3.png,status_time,status_time_profile,UNKNOWN,원형 진행 상태 표시 화면
8-7,8-7.png,data/reference/8-7.png,data/capture/8-7.png,status_time,status_time_profile,UNKNOWN,원형 진행 상태 표시 화면
